flight_number,treasure_position,treasure_crumbs,average_crumbs,evaluation_seconds,update_seconds,overhead_seconds
0,"[2.351563034243185, -8.802211141216794]",16.332292915933717,20.062080850467275,0.004687450997153064,0.0,2.532800135668367e-05
1,"[2.351563034243185, -8.802211141216794]",16.332292915933717,19.039465119523086,0.00042670999755500816,2.751300053205341e-05,1.339799928246066e-05
2,"[2.406424404756348, -4.7938191574933136]",12.595887122483926,17.460860231894337,0.0003879950018017553,2.496000161045231e-05,1.6090998542495072e-05
3,"[2.406424404756348, -4.7938191574933136]",12.595887122483926,15.835947132763888,0.0007245980013976805,2.6306999643566087e-05,1.5784000424901024e-05
4,"[1.0758455602081085, -2.7192069263995884]",8.075973791021415,12.580005344559652,0.0007652439999219496,2.417799987597391e-05,0.0049319560021103825
5,"[1.0758455602081085, -2.7192069263995884]",8.075973791021415,10.417615753614786,0.000413672998547554,2.88399969576858e-05,1.5963003534125164e-05
6,"[1.0758455602081085, -2.7192069263995884]",8.075973791021415,10.417615753614786,0.00040259100205730647,2.129399945260957e-05,1.1239000741625205e-05
7,"[1.0758455602081085, -2.7192069263995884]",8.075973791021415,10.20909542424247,0.0003366409982845653,2.1163999917916954e-05,1.0871000995393842e-05
8,"[1.0758455602081085, -2.7192069263995884]",8.075973791021415,10.20909542424247,0.00030518900166498497,2.1363000996643677e-05,8.805000106804073e-06
9,"[1.4913707784298045, -0.2192690710517584]",5.889954819415099,9.071364202830448,0.00029366200033109635,1.9549999706214294e-05,1.1330001143505797e-05
10,"[1.4913707784298045, -0.2192690710517584]",5.889954819415099,9.071364202830448,0.0003905690027750097,2.3771000996930525e-05,1.2687996786553413e-05
