flight_number,treasure_position,treasure_crumbs,average_crumbs,evaluation_seconds,update_seconds,overhead_seconds
0,"[2.351563034243185, -8.802211141216794]",16.332292915933717,20.062080850467275,0.00031865100027062,0.0,3.1356001272797585e-05
1,"[2.351563034243185, -8.802211141216794]",16.332292915933717,19.039465119523086,0.00011036599971703254,3.157000173814595e-05,1.5435998648172244e-05
2,"[2.406424404756348, -4.7938191574933136]",12.595887122483926,17.460860231894337,0.00011023600018233992,2.7803002012660727e-05,1.7743997887009755e-05
3,"[2.406424404756348, -4.7938191574933136]",12.595887122483926,15.835947132763888,8.540099952369928e-05,2.5121000362560153e-05,1.1460000678198412e-05
4,"[1.0758455602081085, -2.7192069263995884]",8.075973791021415,12.580005344559652,8.707800225238316e-05,2.5444001948926598e-05,1.4453995390795171e-05
5,"[1.0758455602081085, -2.7192069263995884]",8.075973791021415,10.417615753614786,8.693400013726205e-05,2.2434000129578635e-05,1.1600001016631722e-05
6,"[1.0758455602081085, -2.7192069263995884]",8.075973791021415,10.417615753614786,7.496399848605506e-05,2.2350999643094838e-05,1.0175001079915091e-05
7,"[1.0758455602081085, -2.7192069263995884]",8.075973791021415,10.20909542424247,8.406900087720715e-05,2.5700999685795978e-05,1.19440010166727e-05
8,"[1.0758455602081085, -2.7192069263995884]",8.075973791021415,10.20909542424247,8.278899986180477e-05,2.415699782432057e-05,1.0903004294959828e-05
9,"[1.4913707784298045, -0.2192690710517584]",5.889954819415099,9.071364202830448,6.795299850637093e-05,2.100200072163716e-05,1.2370001059025526e-05
10,"[1.4913707784298045, -0.2192690710517584]",5.889954819415099,9.071364202830448,6.624199886573479e-05,2.280499757034704e-05,1.0213003406533971e-05
