flight_number,treasure_position,treasure_crumbs,average_crumbs,evaluation_seconds,update_seconds,overhead_seconds
0,"[9.676070826878288, -13.151504905116948, -11.453485564916694, 32.43708368908182, 18.090700310919118, 2.1777047498501148, 11.052795898614796, -12.279918421760353, -20.60244889257507, 19.371401912184886, -11.755930558135091, 1.7074383435511606, 23.96931512026405, 7.8065937338272064, 0.7752510734564169, 2.3401413448777717, -13.47449616622481, 17.299176976157092, -13.20236181022242, 15.870016658901058, 18.1543255622188, 10.2781121228494, 9.013940768674317, -23.750717740472325, 28.62683033444673, -3.170288184183299, 29.21857560763003, -4.168765449338519, 22.647746080784074, -8.970689162359196]",20.89270245473465,21.282815435803638,0.00034113800029444974,0.0,0.0
1,"[0.18006616666939657, 4.994990395145134, 7.646516282290575, 3.206743120555881, 15.744120323728506, -1.5407766028146899, 11.089078389507826, -9.784756560617591, -17.398686949333502, 24.22948310892731, 17.930869136339744, -1.8281709395585635, 25.31411337687141, 0.8388242571920097, -3.8894523333596425, -1.58821521173771, -21.010729780025486, 4.644082581838147, -5.384309842644637, -5.086582928151975, 14.916530996518588, -12.07487678993047, 3.2444045230165277, -14.258266726720391, 20.496947780556575, -4.038254203974603, -19.593947891865753, -3.172347101071855, 21.727251568899348, 16.784884734162254]",20.116170220026266,20.608887373481604,0.000342338999871572,0.0019926519998989534,4.895100028079469e-05
2,"[-0.4770103635647853, 3.931298740371691, -1.5321192856549573, 1.6257511288838806, 17.081777254171307, -2.111108397226749, -0.00674672191227188, -4.910011473565477, 2.7415817946883614, 1.8758080287506385, -6.287682732028655, 3.0151624768185927, 32.768, 8.915663139228021, 1.2122731962644515, 8.091046999833829, -0.19829588602701875, 22.02154893060512, 2.8013075486844032, 24.117346855677468, 13.977800692308907, -2.2913970839263182, -5.7597020974061035, -18.98256309041873, -1.0166199875633701, -3.8056105927022736, -2.0895084669369686, 1.1203196991704552, -0.9956053479733384, 2.8724449964466636]",18.686898445116423,19.95456579770501,0.00033205899944732664,0.0016201799999180366,3.393000042706262e-05
3,"[-0.4770103635647853, 3.931298740371691, -1.5321192856549573, 1.6257511288838806, 17.081777254171307, -2.111108397226749, -0.00674672191227188, -4.910011473565477, 2.7415817946883614, 1.8758080287506385, -6.287682732028655, 3.0151624768185927, 32.768, 8.915663139228021, 1.2122731962644515, 8.091046999833829, -0.19829588602701875, 22.02154893060512, 2.8013075486844032, 24.117346855677468, 13.977800692308907, -2.2913970839263182, -5.7597020974061035, -18.98256309041873, -1.0166199875633701, -3.8056105927022736, -2.0895084669369686, 1.1203196991704552, -0.9956053479733384, 2.8724449964466636]",18.686898445116423,19.778449441332306,0.0003277320001870976,0.0015681880004194682,2.7504999707161915e-05
4,"[-0.4770103635647853, 3.931298740371691, -1.5321192856549573, 1.6257511288838806, 17.081777254171307, -2.111108397226749, -0.00674672191227188, -4.910011473565477, 2.7415817946883614, 1.8758080287506385, -6.287682732028655, 3.0151624768185927, 32.768, 8.915663139228021, 1.2122731962644515, 8.091046999833829, -0.19829588602701875, 22.02154893060512, 2.8013075486844032, 24.117346855677468, 13.977800692308907, -2.2913970839263182, -5.7597020974061035, -18.98256309041873, -1.0166199875633701, -3.8056105927022736, -2.0895084669369686, 1.1203196991704552, -0.9956053479733384, 2.8724449964466636]",18.686898445116423,19.58905908795371,0.000324094999996305,0.0015394289994219434,2.444300025672419e-05
5,"[7.616476140499591, 0.20821075952056667, 11.526857782951438, -3.2956044287346042, 12.13929797998164, -9.96383957726137, -2.8203525149094917, -4.063816671267835, -1.9758301898204964, -1.7655844484246632, -1.3237973168095927, -0.4848397267109279, 15.668124658955344, 1.118490730187613, 2.2026983784895298, 6.562106002475118, 6.66749437908538, 18.593870902113082, 3.1592123031824784, 14.33482592107384, 22.338765376007977, -7.713724471453476, 5.305232952612561, -12.651919989761266, -9.444910982483787, 2.6595076946518255, -6.139756798000295, 1.0932251335142436, -11.147979972598355, -4.542720353693546]",18.47788196116591,19.391233366557152,0.00032297999950969825,0.0015710560001025442,2.779399983410258e-05
6,"[11.420658980584438, -3.1486420736090874, 1.3366619391253423, 3.2863123205808424, 17.405540925263207, -4.30667635209141, -12.557697475879086, 12.575268686196917, 9.18649088123569, -6.313639573948938, 0.5534676467474595, -3.8166515871010875, 6.725689649274621, 7.396338633907676, -2.8305795932318967, 7.776262281515653, -1.9122256234331338, 9.833657202374772, -3.751438610737719, 5.618452215955095, -13.918818177480983, -10.395164568740684, 0.6929984101659006, -3.5542367762921803, 1.2196653230988748, 11.80083509614322, 3.7893828683661006, 2.7610226257346713, -0.535188155473266, 2.8206593819049597]",17.496650521016146,18.855555245165256,0.0003314579998914269,0.0015315800001189928,5.17959997523576e-05
7,"[11.783348472930024, -2.033507327538431, 9.134357867826786, -5.8154111062414735, 12.942036227150883, -10.474198258110906, -12.08596646162862, 10.129952787926074, 0.2786539762419338, -13.027098623813863, 7.746876574434246, 5.566000191101398, 6.519788801108907, -3.944557817325361, 2.1445495637818466, 2.3644954617758787, 8.035236988206925, 5.814328116880958, -8.496689713750161, 8.009452698342612, 16.02867181389533, -7.633322398862305, 7.508843392003014, 0.5638575085418882, 4.957575398403089, 9.097695855755024, 1.8808063655360296, -2.8308002186900874, 5.811805669869913, 7.140573410691948]",17.414311230057695,18.338224197850614,0.00033180199989146786,0.0014841339998383773,4.647999958251603e-05
8,"[0.9645858005265318, 0.14710238467720593, 5.781564190452249, -5.814517620888238, 13.347674823325736, -11.622588057476458, -9.340405767422439, -2.29290726823956, 0.9613500624848639, -6.369288778884528, 6.674208397389509, -1.6401855977667292, 5.72768233510434, -3.239290966384335, 1.534510989753132, 0.08465652938519552, 7.4713092919115995, 4.350000627708633, -11.88110558833457, 9.214459798559725, 16.554721317104796, -4.731172273359109, 5.097336603141201, -4.199790587793101, -6.886496458919003, 5.0043365855537, -0.7248759705613361, -7.051908785656156, 4.110738445107119, 1.6052729104899446]",16.559773418967232,18.083645899072383,0.0003600350000851904,0.0015897169996605953,2.796199987642467e-05
9,"[5.4320952444579085, -6.728943478934111, 14.684302099377806, -3.408878574661799, 10.664402222444373, -10.789142085668256, -5.975165760147007, 1.7896354239802292, 2.854634098810272, -4.1895641170345765, 0.356734945130901, 2.421416597468051, 0.5612565232541691, 1.5005327876985461, 2.6587919835314064, 1.116941983733236, -4.750827889756677, -6.709590758797322, -2.0935066461989376, 5.848043851816515, 4.3177972608878745, -11.924639760602757, -2.5952627330271323, 6.324991355688935, 1.06710117752141, 6.596458710409626, -4.958890040122652, -9.266973649856904, 12.737866428490328, 2.018313113884739]",16.25865448813025,17.618204638966166,0.00035709999974642415,0.0015989960002116277,2.9488999643945135e-05
