flight_number,treasure_position,treasure_crumbs,average_crumbs,evaluation_seconds,update_seconds,overhead_seconds
0,"[1.8472957253814881, -0.7414547899453146]",18.7593632857522,41.01586852943013,3.198400008841418e-05,0.0,4.157800003667944e-05
1,"[1.0049177706666022, -0.8271121804322762]",7.040998546094565,27.79233055631944,2.402299969617161e-05,5.740999995396123e-05,1.8187000023317523e-05
2,"[1.0049177706666022, -0.8271121804322762]",7.040998546094565,20.798117533698576,2.6755999897432048e-05,5.3919000038149534e-05,0.0003254530001868261
3,"[-0.061390227717064816, 0.14108501636233162]",4.436855555615498,15.980199346020557,2.6827000056073302e-05,5.803800013381988e-05,0.0001408219995937543
4,"[-0.061390227717064816, 0.14108501636233162]",4.436855555615498,12.371298296608758,0.00040876100001696614,5.508599997483543e-05,2.101599966408685e-05
5,"[-0.9852183978645953, 1.0261608180263933]",2.201548618226262,11.595194493465478,2.2474999695987208e-05,5.4303000069921836e-05,1.8121000266546616e-05
6,"[-0.9852183978645953, 1.0261608180263933]",2.201548618226262,8.307221534486915,2.273599966429174e-05,9.185499993691337e-05,1.639300035094493e-05
7,"[-0.9852183978645953, 1.0261608180263933]",2.201548618226262,7.360974772369198,2.625700017233612e-05,5.8772000102180755e-05,1.8303999695490347e-05
8,"[-0.9852183978645953, 1.0261608180263933]",2.201548618226262,7.215021568483231,2.442799996060785e-05,5.829700012327521e-05,1.7604999811737798e-05
9,"[-0.9852183978645953, 1.0261608180263933]",2.201548618226262,5.959588242247762,6.0973000017838785e-05,5.511700010174536e-05,1.80659994839516e-05
10,"[0.02217959235683803, 0.027994732107257225]",0.2525212591039683,5.051623729687002,2.290900010848418e-05,9.390100012751645e-05,1.9562999568734085e-05
