flight_number,treasure_position,treasure_crumbs,average_crumbs,evaluation_seconds,update_seconds,overhead_seconds
0,"[0.1586322746447708, 1.2041497539494674]",13.203340528665233,37.46623926306487,0.003066023000428686,0.0,9.742499969433993e-05
1,"[1.1197766107210985, -0.0023859521158926533]",3.9557416690790888,25.522251309749176,0.001703847001408576,0.0005771809992438648,5.810000038763974e-05
2,"[0.013073665061888784, 0.026776374520482094]",0.17579885865406197,20.18854354762039,0.002860108999811928,0.00015870599963818677,5.06370015500579e-05
3,"[0.013073665061888784, 0.026776374520482094]",0.17579885865406197,15.752296099530787,0.001902030999190174,0.0009344150003016694,5.804200191050768e-05
4,"[0.013073665061888784, 0.026776374520482094]",0.17579885865406197,13.701923879515011,0.006388035000782111,0.0004292049998184666,6.046499947842676e-05
5,"[0.013073665061888784, 0.026776374520482094]",0.17579885865406197,13.015478863773572,0.01716586099973938,0.000496356000439846,5.317499926604796e-05
6,"[0.013073665061888784, 0.026776374520482094]",0.17579885865406197,10.87827223280217,0.001606317999176099,0.0001239299999724608,3.0654000511276536e-05
7,"[0.013073665061888784, 0.026776374520482094]",0.17579885865406197,10.047709042031341,0.0014245929996832274,0.0008047219998843502,0.0012126170004194137
8,"[0.013073665061888784, 0.026776374520482094]",0.17579885865406197,9.713346826254972,0.0010980610004480695,0.00021845799892616924,2.6467001589480788e-05
9,"[0.013073665061888784, 0.026776374520482094]",0.17579885865406197,9.38949941493779,0.003353742999024689,0.00011506100054248236,3.4947999665746465e-05
10,"[0.013073665061888784, 0.026776374520482094]",0.17579885865406197,8.041276992200334,0.001648999001190532,0.00010623300113365985,2.527099786675535e-05
11,"[0.013073665061888784, 0.026776374520482094]",0.17579885865406197,7.448367888578624,0.001071451999450801,0.05867066700011492,4.318200080888346e-05
12,"[0.013073665061888784, 0.026776374520482094]",0.17579885865406197,6.696956558403427,0.00930689799861284,0.00011854800141009036,4.8239999159704894e-05
13,"[0.013073665061888784, 0.026776374520482094]",0.17579885865406197,6.04331992417478,0.005369348999010981,0.0002764839991868939,4.215600165480282e-05
14,"[0.013073665061888784, 0.026776374520482094]",0.17579885865406197,5.675056023879224,0.000852450999445864,0.00021826500051247422,2.494100044714287e-05
15,"[0.013073665061888784, 0.026776374520482094]",0.17579885865406197,5.1571200562168595,0.005749908001234871,0.00010280300011800136,3.3174997952301055e-05
16,"[0.013073665061888784, 0.026776374520482094]",0.17579885865406197,5.117785015657665,0.001121459999922081,0.00010381100037193391,2.7097999918623827e-05
17,"[0.013073665061888784, 0.026776374520482094]",0.17579885865406197,4.929906944855773,0.01888312700066308,0.00010411199946247507,6.42790000711102e-05
