flight_number,treasure_position,treasure_crumbs,average_crumbs,evaluation_seconds,update_seconds,overhead_seconds
0,"[0.3674317241004976, -1.375345490815124]",35.83993375431481,40.398821741516855,0.0002137869996658992,0.0,2.872400000342168e-05
1,"[-0.899873758785463, -1.354025756614418]",20.638241267187926,31.546272820085917,6.554699939442798e-05,3.064000338781625e-05,1.5488996723433957e-05
2,"[-0.8615457265246881, -0.7490342433583299]",14.915222233857989,26.5020419375825,0.00010820600073202513,2.5449000531807542e-05,1.645800148253329e-05
3,"[-0.957781407287176, -2.18263424335833]",11.923558074143404,18.513530400767557,5.507400055648759e-05,2.409100125078112e-05,1.3557997590396553e-05
4,"[-0.957781407287176, -2.18263424335833]",11.923558074143404,15.763108367779079,4.7146997530944645e-05,2.2105003154138103e-05,1.093199898605235e-05
5,"[-0.957781407287176, -2.18263424335833]",11.923558074143404,15.470877289146209,4.39710020145867e-05,2.2724998416379094e-05,1.0477000614628196e-05
6,"[-0.9020586686615675, -0.908485900562849]",5.081612657603969,10.18641766215314,4.273000013199635e-05,2.1428000763989985e-05,1.2207998224766925e-05
7,"[-0.9020586686615675, -0.908485900562849]",5.081612657603969,10.18641766215314,5.170099757378921e-05,6.510399907710962e-05,1.0719002602854744e-05
8,"[0.028824541544881344, 0.013082927613505824]",0.19832546281691776,3.8866476661433556,4.4193999201525e-05,2.3073000193107873e-05,1.2731001334032044e-05
9,"[0.028824541544881344, 0.013082927613505824]",0.19832546281691776,3.8866476661433556,4.2101000872207806e-05,2.024400237132795e-05,8.677998266648501e-06
10,"[0.028824541544881344, 0.013082927613505824]",0.19832546281691776,3.8866476661433556,4.2635998397599906e-05,2.0089999452466145e-05,8.365001122001559e-06
