flight_number,treasure_position,treasure_crumbs,average_crumbs,evaluation_seconds,update_seconds,overhead_seconds
0,"[0.3674317241004976, -1.375345490815124]",35.83993375431481,40.398821741516855,0.04698405300223385,0.0,8.594599785283208e-05
1,"[-0.899873758785463, -1.354025756614418]",20.638241267187926,31.546272820085917,0.04689847600093344,8.368899943889119e-05,8.101599814835936e-05
2,"[-0.8615457265246881, -0.7490342433583299]",14.915222233857989,26.5020419375825,0.04329029400105355,9.55360010266304e-05,7.994999759830534e-05
3,"[-0.957781407287176, -2.18263424335833]",11.923558074143404,18.513530400767557,0.028735399999277433,0.0018823289974534418,7.58400019549299e-05
4,"[-0.957781407287176, -2.18263424335833]",11.923558074143404,15.763108367779079,0.033930939000129,5.9490001149242744e-05,6.277600186876953e-05
5,"[-0.957781407287176, -2.18263424335833]",11.923558074143404,15.470877289146209,0.039119027998822276,5.48229982086923e-05,5.75440026295837e-05
6,"[-0.9020586686615675, -0.908485900562849]",5.081612657603969,10.18641766215314,0.03359741900203517,6.170299820951186e-05,7.08049992681481e-05
7,"[-0.9020586686615675, -0.908485900562849]",5.081612657603969,10.18641766215314,0.0564498990024731,5.936500019743107e-05,5.95459969190415e-05
8,"[0.028824541544881344, 0.013082927613505824]",0.19832546281691776,3.8866476661433556,0.1413979479984846,6.561999907717109e-05,0.00011553500371519476
9,"[0.028824541544881344, 0.013082927613505824]",0.19832546281691776,3.8866476661433556,0.04438281600232585,5.656699795508757e-05,5.220699677010998e-05
10,"[0.028824541544881344, 0.013082927613505824]",0.19832546281691776,3.8866476661433556,0.10237400999903912,5.377600245992653e-05,5.7353998272446916e-05
