flight_number,treasure_position,treasure_crumbs,average_crumbs,evaluation_seconds,update_seconds,overhead_seconds
0,"[-1.3425549441730813, 4.521019814729574, -3.8863153417220384, 1.0332647853304282, -0.7920098228266959, -2.0333570750872583, -4.961630514059051, -2.910158559942711, -0.5140150805205135, 2.0152570096851603, -2.5627749146030885, -1.0455440833779468, 0.279399655478195, -1.2614281209022034, -0.8412191121743549, -2.39911794011453, -0.5895981022706485, -5.038699035826536, 2.17225646803577, 0.9387514911298602, 1.9240031052747977, 1.0356272902187698, 1.7276671535229795, 4.154412167543243, 1.3526744651146236, -0.8716986881586157, 1.8175472731778584, -2.8013059703317436, 1.8493278115494967, 2.5145878300070468]",406.39559216680385,546.4206548109065,0.00020042200048919767,0.0,0.0
1,"[-0.3726876623071691, -0.2675825951960653, -2.156519755868165, 1.8946520886445617, -0.955717582518234, -2.7611352750967875, 1.984797028831296, -2.067038946004734, 1.6319722917091317, 3.7975773831010025, -2.7381120534544734, -1.0940861911144832, 0.05852424489666008, -0.20968309938046392, -2.0913429945052835, -2.8511547204038763, 1.0934848582335315, 3.053515473230058, -0.8902173709204004, -0.15414014834861223, 0.7688205204945113, 0.8485825810732259, -0.09734479039247212, 5.093998953523252, 2.537773807604961, -0.8780065940278194, -1.8680436518660137, -0.9487543102685194, -2.4360298870592993, 1.1703190548873996]",292.4225746438089,429.48801843321564,0.00019804099974862766,0.0012081000004400266,2.5203000404872e-05
2,"[-0.3726876623071691, -0.2675825951960653, -2.156519755868165, 1.8946520886445617, -0.955717582518234, -2.7611352750967875, 1.984797028831296, -2.067038946004734, 1.6319722917091317, 3.7975773831010025, -2.7381120534544734, -1.0940861911144832, 0.05852424489666008, -0.20968309938046392, -2.0913429945052835, -2.8511547204038763, 1.0934848582335315, 3.053515473230058, -0.8902173709204004, -0.15414014834861223, 0.7688205204945113, 0.8485825810732259, -0.09734479039247212, 5.093998953523252, 2.537773807604961, -0.8780065940278194, -1.8680436518660137, -0.9487543102685194, -2.4360298870592993, 1.1703190548873996]",292.4225746438089,387.9046436160656,0.0002921499999501975,0.0010442869997859816,2.1442000615934376e-05
3,"[-0.3726876623071691, -0.2675825951960653, -2.156519755868165, 1.8946520886445617, -0.955717582518234, -2.7611352750967875, 1.984797028831296, -2.067038946004734, 1.6319722917091317, 3.7975773831010025, -2.7381120534544734, -1.0940861911144832, 0.05852424489666008, -0.20968309938046392, -2.0913429945052835, -2.8511547204038763, 1.0934848582335315, 3.053515473230058, -0.8902173709204004, -0.15414014834861223, 0.7688205204945113, 0.8485825810732259, -0.09734479039247212, 5.093998953523252, 2.537773807604961, -0.8780065940278194, -1.8680436518660137, -0.9487543102685194, -2.4360298870592993, 1.1703190548873996]",292.4225746438089,385.00605259968296,0.00019357100063643884,0.0010805379997691489,1.905599856399931e-05
4,"[-0.3726876623071691, -0.2675825951960653, -2.156519755868165, 1.8946520886445617, -0.955717582518234, -2.7611352750967875, 1.984797028831296, -2.067038946004734, 1.6319722917091317, 3.7975773831010025, -2.7381120534544734, -1.0940861911144832, 0.05852424489666008, -0.20968309938046392, -2.0913429945052835, -2.8511547204038763, 1.0934848582335315, 3.053515473230058, -0.8902173709204004, -0.15414014834861223, 0.7688205204945113, 0.8485825810732259, -0.09734479039247212, 5.093998953523252, 2.537773807604961, -0.8780065940278194, -1.8680436518660137, -0.9487543102685194, -2.4360298870592993, 1.1703190548873996]",292.4225746438089,377.1726465036037,0.0001988849999179365,0.0010877329996219487,1.851800061558606e-05
5,"[-0.3726876623071691, -0.2675825951960653, -2.156519755868165, 1.8946520886445617, -0.955717582518234, -2.7611352750967875, 1.984797028831296, -2.067038946004734, 1.6319722917091317, 3.7975773831010025, -2.7381120534544734, -1.0940861911144832, 0.05852424489666008, -0.20968309938046392, -2.0913429945052835, -2.8511547204038763, 1.0934848582335315, 3.053515473230058, -0.8902173709204004, -0.15414014834861223, 0.7688205204945113, 0.8485825810732259, -0.09734479039247212, 5.093998953523252, 2.537773807604961, -0.8780065940278194, -1.8680436518660137, -0.9487543102685194, -2.4360298870592993, 1.1703190548873996]",292.4225746438089,370.16046214033605,0.0002941530001407955,0.001041780000377912,1.9963999875471927e-05
6,"[-0.3726876623071691, -0.2675825951960653, -2.156519755868165, 1.8946520886445617, -0.955717582518234, -2.7611352750967875, 1.984797028831296, -2.067038946004734, 1.6319722917091317, 3.7975773831010025, -2.7381120534544734, -1.0940861911144832, 0.05852424489666008, -0.20968309938046392, -2.0913429945052835, -2.8511547204038763, 1.0934848582335315, 3.053515473230058, -0.8902173709204004, -0.15414014834861223, 0.7688205204945113, 0.8485825810732259, -0.09734479039247212, 5.093998953523252, 2.537773807604961, -0.8780065940278194, -1.8680436518660137, -0.9487543102685194, -2.4360298870592993, 1.1703190548873996]",292.4225746438089,361.28324013977436,0.00019049699949391652,0.0011264069999015192,1.8042999727185816e-05
7,"[-0.3726876623071691, -0.2675825951960653, -2.156519755868165, 1.8946520886445617, -0.955717582518234, -2.7611352750967875, 1.984797028831296, -2.067038946004734, 1.6319722917091317, 3.7975773831010025, -2.7381120534544734, -1.0940861911144832, 0.05852424489666008, -0.20968309938046392, -2.0913429945052835, -2.8511547204038763, 1.0934848582335315, 3.053515473230058, -0.8902173709204004, -0.15414014834861223, 0.7688205204945113, 0.8485825810732259, -0.09734479039247212, 5.093998953523252, 2.537773807604961, -0.8780065940278194, -1.8680436518660137, -0.9487543102685194, -2.4360298870592993, 1.1703190548873996]",292.4225746438089,359.5725174686595,0.0002069669999400503,0.0013020630003666156,1.849999989644857e-05
8,"[-0.3726876623071691, -0.2675825951960653, -2.156519755868165, 1.8946520886445617, -0.955717582518234, -2.7611352750967875, 1.984797028831296, -2.067038946004734, 1.6319722917091317, 3.7975773831010025, -2.7381120534544734, -1.0940861911144832, 0.05852424489666008, -0.20968309938046392, -2.0913429945052835, -2.8511547204038763, 1.0934848582335315, 3.053515473230058, -0.8902173709204004, -0.15414014834861223, 0.7688205204945113, 0.8485825810732259, -0.09734479039247212, 5.093998953523252, 2.537773807604961, -0.8780065940278194, -1.8680436518660137, -0.9487543102685194, -2.4360298870592993, 1.1703190548873996]",292.4225746438089,357.0845617440887,0.00019505799991748063,0.0010190630000579404,1.5597999663441442e-05
9,"[-0.3726876623071691, -0.2675825951960653, -2.156519755868165, 1.8946520886445617, -0.955717582518234, -2.7611352750967875, 1.984797028831296, -2.067038946004734, 1.6319722917091317, 3.7975773831010025, -2.7381120534544734, -1.0940861911144832, 0.05852424489666008, -0.20968309938046392, -2.0913429945052835, -2.8511547204038763, 1.0934848582335315, 3.053515473230058, -0.8902173709204004, -0.15414014834861223, 0.7688205204945113, 0.8485825810732259, -0.09734479039247212, 5.093998953523252, 2.537773807604961, -0.8780065940278194, -1.8680436518660137, -0.9487543102685194, -2.4360298870592993, 1.1703190548873996]",292.4225746438089,354.6215567118037,0.00021071599985589273,0.015186929000265081,2.925100034190109e-05
