flight_number,treasure_position,treasure_crumbs,average_crumbs,evaluation_seconds,update_seconds,overhead_seconds
0,"[0.14697268964019905, -0.5501381963260497]",33.41622319487054,518.0041787978348,0.0016061520000221208,0.0,2.2367999918060377e-05
1,"[-0.2896264730313108, 0.5195863026566679]",20.64683019748244,433.0827147981822,0.003357837998919422,2.6273999537806958e-05,2.0217001292621717e-05
2,"[-0.2759464232626444, -0.05385369734333201]",3.31804254726256,94.76388977676112,0.0009338729978480842,2.6458001229912043e-05,1.909300044644624e-05
3,"[-0.2759464232626444, -0.05385369734333201]",3.31804254726256,9.767011996034617,0.00037844899998162873,2.43520007643383e-05,1.2970998795935884e-05
4,"[-0.2879919610714984, 0.00279284690444892]",2.3012698024737968,8.207872809538037,0.00035628399928100407,2.408900036243722e-05,1.4153003576211631e-05
5,"[0.24518763741159105, -0.02994263302985245]",1.3808150483062385,2.169657086361189,0.00037063700074213557,2.44229995587375e-05,1.5067002095747739e-05
6,"[0.24518763741159105, -0.02994263302985245]",1.3808150483062385,2.169657086361189,0.0017536480008857325,2.4637000024085864e-05,1.4214998373063281e-05
7,"[0.5154462629378219, 0.2761065544644291]",0.24565351654415646,1.1912162860387745,0.0003676029991765972,2.503100040485151e-05,1.5221001376630738e-05
8,"[0.5154462629378219, 0.2761065544644291]",0.24565351654415646,0.8704334991739031,0.00035062899769400246,2.412799949524924e-05,1.227600296260789e-05
9,"[0.5154462629378219, 0.2761065544644291]",0.24565351654415646,0.5427025437896593,0.00033168199661304243,2.261299960082397e-05,1.1508003808557987e-05
10,"[0.5154462629378219, 0.2761065544644291]",0.24565351654415646,0.45235715145069305,0.0003858740019495599,0.0009006930013129022,1.418899410055019e-05
