flight_number,treasure_position,treasure_crumbs,average_crumbs,evaluation_seconds,update_seconds,overhead_seconds
0,"[0.14697268964019905, -0.5501381963260497]",33.41622319487054,518.0041787978348,0.00021967399879940785,0.0,2.7870002668350935e-05
1,"[-0.2896264730313108, 0.5195863026566679]",20.64683019748244,433.0827147981822,0.0003263469989178702,3.829400156973861e-05,2.7846999728353694e-05
2,"[-0.2759464232626444, -0.05385369734333201]",3.31804254726256,94.76388977676112,5.326300015440211e-05,2.5692999770399183e-05,1.4518001989927143e-05
3,"[-0.2759464232626444, -0.05385369734333201]",3.31804254726256,9.767011996034617,0.00025868499869829975,2.0070001482963562e-05,1.5214998711599037e-05
4,"[-0.2879919610714984, 0.00279284690444892]",2.3012698024737968,8.207872809538037,6.764200225006789e-05,2.7637001039693132e-05,1.4616998669225723e-05
5,"[0.24518763741159105, -0.02994263302985245]",1.3808150483062385,2.169657086361189,3.8004000089131296e-05,2.2449999960372224e-05,1.097200220101513e-05
6,"[0.24518763741159105, -0.02994263302985245]",1.3808150483062385,2.169657086361189,3.471400123089552e-05,1.8700000509852543e-05,8.520997653249651e-06
7,"[0.5154462629378219, 0.2761065544644291]",0.24565351654415646,1.1912162860387745,3.253999966545962e-05,1.863699799287133e-05,1.0802003089338541e-05
8,"[0.5154462629378219, 0.2761065544644291]",0.24565351654415646,0.8704334991739031,3.440299769863486e-05,1.90760001714807e-05,8.654998964630067e-06
9,"[0.5154462629378219, 0.2761065544644291]",0.24565351654415646,0.5427025437896593,3.031000233022496e-05,1.9765000615734607e-05,9.341998520540074e-06
10,"[0.5154462629378219, 0.2761065544644291]",0.24565351654415646,0.45235715145069305,4.7337998694274575e-05,2.200800008722581e-05,1.0787000064738095e-05
