flight_number,treasure_position,treasure_crumbs,average_crumbs,evaluation_seconds,update_seconds,overhead_seconds
0,"[-1.9652392241401417, 1.6683202653202858, 1.966751840983103, 1.235109709067363, -1.2332402663250104, -1.6702900061409505, 0.8704937511608892, 1.6655544562679778, 0.8182493041701449, -0.07106766899490014, -0.7827008102094983, 0.45647301566681664, -0.611257846716565, -1.414534003139599, -0.12009701749753598, 0.2409183185107966, 0.7392329596159928, 0.7936014455966136, -0.7421875506383786, -0.09797016645375156, 1.020141232025758, 1.7289173272761742, 0.900943933399537, 0.022804444561663306, -1.9675153554335467, -0.18438577495830577, -0.027022890874514705, 0.2090300201490103, 0.18055873153960267, -0.16710507266686547]",7844.6153965563935,13524.662832086142,0.03011951799999224,0.0,0.0
1,"[-0.4731422791214236, -1.065819168977029, -0.16087865850267125, 1.4141689560520905, 0.47458719033110286, 0.5509356418498464, 0.6370949596068901, 1.0442058451068874, 1.085259622337377, 1.061848020561615, 0.1691956485167213, 0.5917301892886163, -1.2125770324187584, 0.9130253770871145, -0.26328511544291566, -0.5597491542185733, 1.1497089534818898, 0.5667457530691206, -0.625694015725172, -0.7358138202576622, 0.001561205675548183, -0.5918538226260329, -0.9789504843911153, 0.37800252664367473, 0.3173581615115898, -0.4625942438329711, -0.14083450779903273, 0.8309859551561057, -1.2233601749592053, -0.7177937493009301]",3011.453480387317,6705.910024532528,0.026427278000483057,0.0010004149999076617,8.798399903753307e-05
2,"[-0.620633964716279, 0.6717836479643513, -0.2898245645198817, 0.25550123858360085, 0.5810890645359885, -1.0910523688925031, 0.21251455012323628, 0.8432596692852998, 0.6032446743361628, -0.08622777673546234, -0.03537523783318752, 0.24510045735397457, 0.3505261969685899, -0.4350745124997052, -0.057673605638414116, -0.42929480364858585, 0.8197371662382464, 1.0404826942591372, -0.4977123041207412, -0.11340493342637326, 0.5836048934146877, 0.2022424972952851, -0.7398523368201698, 0.025653989376450137, -0.934476182021985, -0.4299245884566234, 0.3297196241557744, 0.8774035677587864, 0.07388193554766509, -0.6012403556535177]",1425.3560827459503,3706.0460818188276,0.01904584400017484,0.0009542719999444671,8.31299994388246e-05
3,"[-0.620633964716279, 0.6717836479643513, -0.2898245645198817, 0.25550123858360085, 0.5810890645359885, -1.0910523688925031, 0.21251455012323628, 0.8432596692852998, 0.6032446743361628, -0.08622777673546234, -0.03537523783318752, 0.24510045735397457, 0.3505261969685899, -0.4350745124997052, -0.057673605638414116, -0.42929480364858585, 0.8197371662382464, 1.0404826942591372, -0.4977123041207412, -0.11340493342637326, 0.5836048934146877, 0.2022424972952851, -0.7398523368201698, 0.025653989376450137, -0.934476182021985, -0.4299245884566234, 0.3297196241557744, 0.8774035677587864, 0.07388193554766509, -0.6012403556535177]",1425.3560827459503,2886.8857575963953,0.02194976000009774,0.0007915490004961612,8.385499950236408e-05
4,"[-1.1592328540276502, 0.7755263964751454, 0.7573788418394732, 0.6071594411423593, 0.11842014506061438, -0.4328659635252547, 0.08592774473067533, 0.7500778187476973, 0.7026556337849946, -0.11482285516978008, 0.21408222859725812, 0.5186777186507816, 0.2730028794956213, 0.06781969188730147, -0.2739187321824538, -0.06314108795912998, 0.4569639287808759, 0.898000015690612, -0.5974206168052765, 0.09768703854116365, 0.4888642415520258, 0.030381273569530187, -0.4670156888739744, -0.08105855880768087, -0.6162256057977573, -0.3237168006157911, 0.5853783252468572, 1.0379665705963248, 0.23448107106576926, -0.4969215016334695]",811.8244593743232,2285.7378715203495,0.02494385099998908,0.0009493309999015764,8.779099971434334e-05
5,"[-1.1592328540276502, 0.7755263964751454, 0.7573788418394732, 0.6071594411423593, 0.11842014506061438, -0.4328659635252547, 0.08592774473067533, 0.7500778187476973, 0.7026556337849946, -0.11482285516978008, 0.21408222859725812, 0.5186777186507816, 0.2730028794956213, 0.06781969188730147, -0.2739187321824538, -0.06314108795912998, 0.4569639287808759, 0.898000015690612, -0.5974206168052765, 0.09768703854116365, 0.4888642415520258, 0.030381273569530187, -0.4670156888739744, -0.08105855880768087, -0.6162256057977573, -0.3237168006157911, 0.5853783252468572, 1.0379665705963248, 0.23448107106576926, -0.4969215016334695]",811.8244593743232,1841.6247119277332,0.022214890000213927,0.001265965000129654,9.068800045497483e-05
6,"[-1.0510094564748187, 1.04498923036208, 0.7483545590922008, 0.8192950755244506, -0.3652121438447017, -0.27761664231525796, 0.36247383607628875, 0.3949576823072203, 0.9187886036357962, 0.11414489392931149, 0.09661942322423228, 0.9355838994309352, 0.46126700112478736, -0.39502060606541356, 0.028334323221677338, 0.45385310281459124, -0.0881057479949886, 0.6061118617568731, -0.5340304504641281, 0.6713132480042201, 0.5692608987460495, 0.2109815294248077, 0.036498604394817336, -0.429411914304287, -0.042486909417398966, -0.4790906999926748, 0.8325599149090759, 0.848072309828023, -0.25007031280006603, -0.1610131633220271]",786.4877740693422,1452.5163839199233,0.021909400999902573,0.0010228660003122059,9.355499969387893e-05
7,"[-1.0510094564748187, 1.04498923036208, 0.7483545590922008, 0.8192950755244506, -0.3652121438447017, -0.27761664231525796, 0.36247383607628875, 0.3949576823072203, 0.9187886036357962, 0.11414489392931149, 0.09661942322423228, 0.9355838994309352, 0.46126700112478736, -0.39502060606541356, 0.028334323221677338, 0.45385310281459124, -0.0881057479949886, 0.6061118617568731, -0.5340304504641281, 0.6713132480042201, 0.5692608987460495, 0.2109815294248077, 0.036498604394817336, -0.429411914304287, -0.042486909417398966, -0.4790906999926748, 0.8325599149090759, 0.848072309828023, -0.25007031280006603, -0.1610131633220271]",786.4877740693422,1287.307296793173,0.019090292999862868,0.000980703000095673,7.755299975542584e-05
8,"[-1.0510094564748187, 1.04498923036208, 0.7483545590922008, 0.8192950755244506, -0.3652121438447017, -0.27761664231525796, 0.36247383607628875, 0.3949576823072203, 0.9187886036357962, 0.11414489392931149, 0.09661942322423228, 0.9355838994309352, 0.46126700112478736, -0.39502060606541356, 0.028334323221677338, 0.45385310281459124, -0.0881057479949886, 0.6061118617568731, -0.5340304504641281, 0.6713132480042201, 0.5692608987460495, 0.2109815294248077, 0.036498604394817336, -0.429411914304287, -0.042486909417398966, -0.4790906999926748, 0.8325599149090759, 0.848072309828023, -0.25007031280006603, -0.1610131633220271]",786.4877740693422,1165.293886922959,0.02070828099931532,0.0011191349994987831,7.028100117167924e-05
9,"[0.10427324918542091, 0.8482584848389534, 0.1774110304271817, 0.23528820458259142, 0.43651373264111853, -0.2903706652004699, -0.5035391354323345, 0.5288303183953125, 0.7760757227520702, 0.3713816430545041, 0.2557729454274823, 0.8366160254966877, 0.6396872914546805, -0.42347725277056153, 0.052758327566933994, 0.321831913926666, -0.05462042846912808, 0.23131061679693943, -0.4138675561885756, 0.4747374936672596, 0.48946044433990293, 0.05109398743033289, -0.7665522898498485, 0.16883882252306387, -0.5805046259912083, -0.37088126235401964, 0.1562615840060118, 0.5525350078251802, -0.16585132148293197, -0.4280932978197824]",666.5341374153207,1004.3175546642799,0.019286095000097703,0.0009663929995440412,8.764699941821164e-05
