flight_number,treasure_position,treasure_crumbs,average_crumbs,evaluation_seconds,update_seconds,overhead_seconds
0,"[-0.535537365423205, 0.2717336523013816]",2.3805752967886127,495.3831015571139,0.0007615159993292764,0.0,0.00011000700033036992
1,"[-0.26101503326081954, -0.0009543808463571279]",2.06740815920317,176.4689017118297,5.912500091653783e-05,0.0016616150005575037,4.420699769980274e-05
2,"[-0.005883309805830905, -0.06474617979610309]",1.4314563488059704,30.668373095657785,6.807000136177521e-05,0.00017574999947100878,5.020000025979243e-05
3,"[-0.005883309805830905, -0.06474617979610309]",1.4314563488059704,8.442850547256347,6.64649996906519e-05,0.0005205199995543808,0.00024318500072695315
4,"[0.4809777915696821, 0.22828829924915378]",0.270315118430368,5.740919738744194,5.7952000133809634e-05,0.0001407330000802176,2.966499960166402e-05
5,"[0.4809777915696821, 0.22828829924915378]",0.270315118430368,4.222525887328879,5.651699939335231e-05,0.00013701199895876925,2.5462000849074684e-05
6,"[0.5765773613848304, 0.35528392935676323]",0.23146460048073225,3.5076034956438704,6.525500066345558e-05,0.0004275470000720816,3.701399873534683e-05
7,"[0.5765773613848304, 0.35528392935676323]",0.23146460048073225,2.5511014759592867,6.783099888707511e-05,0.00022792399977333844,2.9914001061115414e-05
8,"[0.6643612284294225, 0.44372413759782925]",0.11320483427791221,2.3128616469224768,5.342599979485385e-05,0.00014124100016488228,2.7055999453295954e-05
9,"[0.6643612284294225, 0.44372413759782925]",0.11320483427791221,1.8828204716668042,0.00029892999918956775,0.001315899000474019,5.077400055597536e-05
10,"[0.6713565934837219, 0.4435237406441226]",0.11318463665579108,1.4600886252144827,7.371799983957317e-05,0.00018463000014889985,0.000623747999270563
11,"[0.6713565934837219, 0.4435237406441226]",0.11318463665579108,1.0517086619707716,7.237699901452288e-05,0.0007544010004494339,4.4018999687978067e-05
12,"[0.6713565934837219, 0.4435237406441226]",0.11318463665579108,0.9457610874237447,7.650100087630562e-05,0.0007800099992891774,4.6828999984427355e-05
13,"[0.6713565934837219, 0.4435237406441226]",0.11318463665579108,0.846879129695347,7.738500062259845e-05,0.002206441999078379,5.965899981674738e-05
