flight_number,treasure_position,treasure_crumbs,average_crumbs,evaluation_seconds,update_seconds,overhead_seconds
0,"[0.81812689185272, -0.4484574074735299]",0.8704456574904719,15.238425708136438,0.0011834079996333458,0.0,2.4388999008806422e-05
1,"[-0.5724517302051546, 0.23444048062058132]",0.3826633223684843,6.688941450017645,0.0006213699998625088,0.0002436320010019699,1.9402998077566735e-05
2,"[0.1928446714758929, -0.16186544949025805]",0.06338949105532835,1.996952445001214,0.0006059040006221039,9.232499905920122e-05,1.778899968485348e-05
3,"[-0.19494972723555754, 0.0031835258851026227]",0.0380155309862794,1.183459644633103,0.0004559150002023671,0.00016820599921629764,1.5139999959501438e-05
4,"[-0.19494972723555754, 0.0031835258851026227]",0.0380155309862794,0.9327704726707423,0.00047105199882935267,0.0002805899985105498,1.4768002074561082e-05
5,"[-0.09667539442611922, -0.017955211388073378]",0.009668521503436124,0.7107761731253976,0.0005537529996217927,7.016800009296276e-05,1.4839000868960284e-05
6,"[-0.09667539442611922, -0.017955211388073378]",0.009668521503436124,0.39917252651145624,0.0005913339991820976,7.839799945941195e-05,1.5134002751437947e-05
7,"[-0.09667539442611922, -0.017955211388073378]",0.009668521503436124,0.29929784729980624,0.000426234999395092,6.69229993945919e-05,1.2444001185940579e-05
8,"[-0.09667539442611922, -0.017955211388073378]",0.009668521503436124,0.21045359007007766,0.000750375000279746,7.835799988242798e-05,1.521600097476039e-05
9,"[0.040490932581565775, 0.027552483740800958]",0.002398654981612006,0.1823148377979168,0.000833936999697471,7.688699952268507e-05,1.628300014999695e-05
10,"[0.040490932581565775, 0.027552483740800958]",0.002398654981612006,0.14797986139834624,0.0006156819999887375,8.246700053859968e-05,1.4059998648008332e-05
11,"[0.040490932581565775, 0.027552483740800958]",0.002398654981612006,0.1376899125097175,0.0005688460005330853,7.260700112965424e-05,1.4455998098128475e-05
12,"[0.040490932581565775, 0.027552483740800958]",0.002398654981612006,0.13268283338633,0.0004827940010727616,8.519100083503872e-05,1.4667997675132938e-05
13,"[0.040490932581565775, 0.027552483740800958]",0.002398654981612006,0.1263025342882638,0.0004705809988081455,7.405399992421735e-05,1.2976001016795635e-05
14,"[0.040490932581565775, 0.027552483740800958]",0.002398654981612006,0.07807239020870525,0.00045876100011810195,0.00020840999968640972,1.4766001186217181e-05
15,"[0.02477387151991367, -0.025475143248568186]",0.0012627276336202589,0.06482473977760805,0.000727344000551966,7.466799979738425e-05,1.538299875392113e-05
16,"[0.005495481009818032, -0.004292171097841184]",4.862304426241381e-05,0.05817102308587887,0.0006932449996384094,8.12739999673795e-05,1.732600139803253e-05
17,"[0.005495481009818032, -0.004292171097841184]",4.862304426241381e-05,0.055378193964345776,0.0006615149995923275,7.484900015697349e-05,1.3396000213106163e-05
18,"[-0.0006656097914479187, -0.0013482417992182229]",2.2607923436305325e-06,0.05262859290896535,0.00044992500079388265,8.050900032685604e-05,0.00013040699923294596
19,"[-0.0006656097914479187, -0.0013482417992182229]",2.2607923436305325e-06,0.043378932105117625,0.0005149930002517067,9.225599933415651e-05,1.495200012868736e-05
20,"[-0.0006656097914479187, -0.0013482417992182229]",2.2607923436305325e-06,0.04252208255078631,0.0004755200006911764,0.00019699900076375343,1.5398998584714718e-05
21,"[-0.0006656097914479187, -0.0013482417992182229]",2.2607923436305325e-06,0.03434246193967882,0.0005673579998983769,0.00018836399976862594,1.532600072096102e-05
22,"[-0.0006656097914479187, -0.0013482417992182229]",2.2607923436305325e-06,0.02647196685535995,0.0005989460005366709,7.88730012573069e-05,1.5425999663420953e-05
23,"[-0.0006656097914479187, -0.0013482417992182229]",2.2607923436305325e-06,0.02488614626289442,0.0009569839985488215,7.279700002982281e-05,1.7712001863401383e-05
