inertia,cognitive_weight,social_weight,swarm_size,w,c1,c2,mode,objective_name,seeds,seed_count,best_seed,best_crumbs_mean,best_crumbs_min,total_seconds_mean,evaluation_seconds_mean,update_seconds_mean,overhead_seconds_mean,best_position
0.4,1.7,1.3,20,0.4,1.7,1.3,sequential,sphere,"7,8,9",3,8,4.382260656400558e-11,1.1571050709334178e-11,0.011103462000050968,0.00037070500006090395,0.002216750000116008,0.008516006999874056,"[-3.03061890124876e-06, 1.5447976517097425e-06]"
0.4,1.3,1.3,20,0.4,1.3,1.3,sequential,sphere,"7,8,9",3,7,8.121566908685375e-11,5.987928936853919e-12,0.01438357433331324,0.00036562533345356013,0.0019341013334421102,0.012083847666417569,"[2.4290324613959903e-06, -2.961929073061266e-07]"
0.4,1.3,1.7,20,0.4,1.3,1.7,sequential,sphere,"7,8,9",3,8,8.137773151290927e-11,1.5364640201705565e-11,0.007896496333349509,0.00041432766693105805,0.0022107550001919662,0.005271413666226484,"[-3.551432417326823e-06, 1.658905659423019e-06]"
0.4,1.3,2.1,20,0.4,1.3,2.1,sequential,sphere,"7,8,9",3,8,9.658796750101936e-10,6.28284458519716e-11,0.0065567840000539945,0.000356115666666786,0.0016980893332174674,0.0045025790001697414,"[9.980976959781245e-07, -7.863348322518516e-06]"
0.4,2.1,1.3,20,0.4,2.1,1.3,sequential,sphere,"7,8,9",3,8,1.4442895226263668e-09,6.58460580924932e-11,0.01291196666666868,0.0005664713333241403,0.002723248999889923,0.009622246333454617,"[6.178745394944791e-06, 5.260148613579444e-06]"
0.4,1.7,1.7,20,0.4,1.7,1.7,sequential,sphere,"7,8,9",3,8,1.46087222858217e-09,2.1101386071563283e-10,0.02837738099996538,0.0003462936670075578,0.003086570666558449,0.02494451666639937,"[-3.081353547546023e-06, -1.4195743060180344e-05]"
0.4,2.1,1.7,20,0.4,2.1,1.7,sequential,sphere,"7,8,9",3,9,2.2101719065735115e-08,4.694773176235115e-09,0.033167571666657146,0.0007744200002737974,0.0054012316669134934,0.026991919999469854,"[-6.815106595904396e-05, 7.085575832714943e-06]"
0.4,1.7,2.1,20,0.4,1.7,2.1,sequential,sphere,"7,8,9",3,9,4.212863756382338e-08,1.3119184262363117e-08,0.020541513666671563,0.0004248853330561057,0.003109012999857441,0.017007615333758015,"[8.39990951240186e-05, -7.786742759786786e-05]"
0.4,2.1,2.1,20,0.4,2.1,2.1,sequential,sphere,"7,8,9",3,8,2.0897501556015348e-07,4.200080257214636e-09,0.016950417666672973,0.0005523759998595779,0.0023639573333866792,0.014034084333426714,"[-3.062147977329796e-05, -5.7117468726372496e-05]"
0.7,1.3,1.3,20,0.7,1.3,1.3,sequential,sphere,"7,8,9",3,9,6.679573446032919e-06,3.8035925411874707e-06,0.018584354999992076,0.0004963619997321681,0.0028063640002452908,0.015281629000014618,"[-0.0019324897708251632, -0.00026282280502950856]"
