flight_number,treasure_position,treasure_crumbs,average_crumbs,evaluation_seconds,update_seconds,overhead_seconds
0,"[0.3674317241004976, -1.375345490815124]",2.0265812909809586,13.18875312516457,0.00013011099872528575,0.0,2.6723999326350167e-05
1,"[0.3674317241004976, -1.375345490815124]",2.0265812909809586,9.549092996446946,4.6057000872679055e-05,2.6530997274676338e-05,1.283000165130943e-05
2,"[0.37600381324317933, -0.7490342433583299]",0.7024311652967975,5.123530556914785,3.634400127339177e-05,2.154100002371706e-05,1.1849999282276258e-05
3,"[0.37600381324317933, -0.7490342433583299]",0.7024311652967975,2.6137182755840342,3.199300044798292e-05,2.0176998077658936e-05,9.229002898791805e-06
4,"[0.0194519586669184, -0.4256307061794169]",0.18153987673876862,0.8113588661210033,4.9977999879047275e-05,2.587999915704131e-05,1.6124002286233008e-05
5,"[0.0194519586669184, -0.4256307061794169]",0.18153987673876862,0.5503188581651394,4.1837000026134774e-05,2.157199924113229e-05,1.1231997632421553e-05
6,"[0.0194519586669184, -0.4256307061794169]",0.18153987673876862,0.5503188581651394,4.025599992019124e-05,2.273599966429174e-05,1.0492000001249835e-05
7,"[0.0194519586669184, -0.4256307061794169]",0.18153987673876862,0.5173602444250959,8.668900045449845e-05,2.190600207541138e-05,1.2537995644379407e-05
8,"[0.0194519586669184, -0.4256307061794169]",0.18153987673876862,0.5173602444250959,3.601299977162853e-05,2.0007999410154298e-05,9.19800004339777e-06
9,"[0.0981977711627291, -0.03490028577132187]",0.010860832208247642,0.41665661853272595,3.1719999242341146e-05,2.1176998416194692e-05,1.200100450660102e-05
10,"[0.0981977711627291, -0.03490028577132187]",0.010860832208247642,0.41665661853272595,6.863800081191584e-05,2.093500006594695e-05,9.90799890132621e-06
