flight_number,treasure_position,treasure_crumbs,average_crumbs,evaluation_seconds,update_seconds,overhead_seconds
0,"[1.4224739218041247, -1.3066491624885122, 0.48890332886587196]",3.9697905570208682,26.245974636035037,2.3915001293062232e-05,0.0,0.0
1,"[0.3037695492890866, -0.7880532674233844, 1.1418751669616123]",2.0171827882955773,10.149454198067524,2.3222999516292475e-05,0.00015885600078036077,3.4953001886606216e-05
2,"[0.34192944907521206, 0.036378347006567946, 0.16562877716758118]",0.14567202410183658,4.062140000068658,1.96129985852167e-05,0.00014690399984829128,2.0752002455992624e-05
3,"[0.09680581399187235, 0.07609776835988705, -0.202315035904006]",0.05609360972482326,2.4721128454414143,2.144700010831002e-05,0.00018162699961976614,1.9830000383080915e-05
4,"[0.08244248951215792, -0.021677806623323415, -0.18160805029325633]",0.04024817530827839,1.9672855152054753,1.9200999304302968e-05,0.00014029599878995214,1.693800004431978e-05
5,"[0.08244248951215792, -0.021677806623323415, -0.18160805029325633]",0.04024817530827839,1.247345851962746,1.8229999113827944e-05,0.00014219200056686532,1.526300002296921e-05
6,"[0.08244248951215792, -0.021677806623323415, -0.18160805029325633]",0.04024817530827839,0.9769464991859461,2.0452000171644613e-05,0.00015014699965831824,1.7689999367576092e-05
7,"[0.08244248951215792, -0.021677806623323415, -0.18160805029325633]",0.04024817530827839,0.8309221756298564,1.856600101746153e-05,0.00014466300126514398,1.4522998753818683e-05
8,"[-0.054870947119453506, -0.09521082825001484, -0.06501697539231377]",0.01630312974300442,0.5547972898158009,1.9257000531069934e-05,0.00014362099864229094,1.7083999409805983e-05
9,"[-0.054870947119453506, -0.09521082825001484, -0.06501697539231377]",0.01630312974300442,0.45144708037436204,2.1955000192974694e-05,0.00018220800120616332,2.0658999346778728e-05
10,"[-0.054870947119453506, -0.09521082825001484, -0.06501697539231377]",0.01630312974300442,0.36754776888423973,1.915400025609415e-05,0.00014833000022917986,1.4627999917138368e-05
11,"[0.029490557297822906, -0.0009324476700394713, -0.017898685519139285]",0.0011909253717065841,0.28824720992838027,1.8729999283095822e-05,0.00014478999946732074,1.5553001503576525e-05
12,"[0.029490557297822906, -0.0009324476700394713, -0.017898685519139285]",0.0011909253717065841,0.18889169284364976,2.5436998839722946e-05,0.00014690500029246323,0.00023469600273529068
13,"[0.029490557297822906, -0.0009324476700394713, -0.017898685519139285]",0.0011909253717065841,0.15613954125563062,2.121199941029772e-05,0.00015273099961632397,1.8971999452332966e-05
14,"[0.029490557297822906, -0.0009324476700394713, -0.017898685519139285]",0.0011909253717065841,0.14860208939872777,2.1175999791012146e-05,0.0001758680009515956,1.7577000107849017e-05
15,"[0.029490557297822906, -0.0009324476700394713, -0.017898685519139285]",0.0011909253717065841,0.10622842903661169,2.3966000298969448e-05,0.00015252800039888825,2.470499930495862e-05
16,"[0.029490557297822906, -0.0009324476700394713, -0.017898685519139285]",0.0011909253717065841,0.0942297050898759,2.005399983318057e-05,0.00015141500080062542,1.5097000868991017e-05
17,"[0.029490557297822906, -0.0009324476700394713, -0.017898685519139285]",0.0011909253717065841,0.0861069310306273,1.8786000509862788e-05,0.00013743099952989724,1.4519999240292236e-05
